client_id,client_hostname,benchmark,Execution time,SPEC_ratio,Geometric mean
2,Jads-MacBook-Pro.local,bubbleSort,9.051680088043213,1.0472165543568004,3.087699525381917
2,Jads-MacBook-Pro.local,fileEdit,1.3769969940185547,9.908229943361182,3.087699525381917
2,Jads-MacBook-Pro.local,binaryTree,14.223840951919556,1.2961880777543575,3.087699525381917
2,Jads-MacBook-Pro.local,hanoi,33.840981006622314,1.076077156102759,3.087699525381917
2,Jads-MacBook-Pro.local,network,0.49361276626586914,0.6587582268221692,3.087699525381917
1,reference,bubbleSort,9.479069232940674,1.0,1.0
1,reference,fileEdit,13.64360284805298,1.0,1.0
1,reference,binaryTree,18.43677306175232,1.0,1.0
1,reference,hanoi,36.41550660133362,1.0,1.0
1,reference,network,0.32517147064208984,1.0,1.0
